sensor_name,bridge_name,sensor_id,sensor_type,device_health,availability,project_score,dominant_issue,missing_ratio,stuck_ratio,drift_ratio,spike_ratio
JMSD-2-3D-QJ-1_temperature,蕉门水道特大桥,JMSD-2-3D-QJ-1,temperature,95.414,75.153,89.336,known_system_gap,0.2552,0.0,0.0,0.0
JMSD-2-3D-QJ-1_xAxisAngle,蕉门水道特大桥,JMSD-2-3D-QJ-1,xAxisAngle,95.414,75.153,89.336,known_system_gap,0.2552,0.0,0.0,0.0
JMSD-2-3D-QJ-1_yAxisAngle,蕉门水道特大桥,JMSD-2-3D-QJ-1,yAxisAngle,95.414,75.153,89.336,known_system_gap,0.2552,0.0,0.0,0.0
JMSD-2-4D-QJ-1_yAxisAngle,蕉门水道特大桥,JMSD-2-4D-QJ-1,yAxisAngle,95.434,75.143,89.346,known_system_gap,0.2553,0.0,0.0,0.0
JMSD-2-4D-QJ-1_xAxisAngle,蕉门水道特大桥,JMSD-2-4D-QJ-1,xAxisAngle,95.434,75.143,89.346,known_system_gap,0.2553,0.0,0.0,0.0
JMSD-2-4D-QJ-1_temperature,蕉门水道特大桥,JMSD-2-4D-QJ-1,temperature,95.434,75.143,89.346,known_system_gap,0.2553,0.0,0.0,0.0
JMSD-1-3D-QJ-1_temperature,蕉门水道特大桥,JMSD-1-3D-QJ-1,temperature,95.844,75.029,89.599,known_system_gap,0.2545,0.0,0.0,0.0
JMSD-1-3D-QJ-1_xAxisAngle,蕉门水道特大桥,JMSD-1-3D-QJ-1,xAxisAngle,95.844,75.029,89.599,known_system_gap,0.2545,0.0,0.0,0.0
JMSD-1-3D-QJ-1_yAxisAngle,蕉门水道特大桥,JMSD-1-3D-QJ-1,yAxisAngle,95.844,75.029,89.599,known_system_gap,0.2545,0.0,0.0,0.0
JMSD-D-3D-BB-1_pressure,蕉门水道特大桥,JMSD-D-3D-BB-1,pressure,95.785,75.285,89.635,known_system_gap,0.2524,0.0,0.0,0.0
JMSD-D-3D-BB-1_temperature,蕉门水道特大桥,JMSD-D-3D-BB-1,temperature,95.785,75.285,89.635,known_system_gap,0.2524,0.0,0.0,0.0
JMSD-C-2D-WSD-1_temperature,蕉门水道特大桥,JMSD-C-2D-WSD-1,temperature,95.824,75.432,89.706,known_system_gap,0.2507,0.0,0.0,0.0
JMSD-D-2L-BB-1_pressure,蕉门水道特大桥,JMSD-D-2L-BB-1,pressure,95.863,75.428,89.733,known_system_gap,0.2506,0.0,0.0,0.0
JMSD-D-2L-BB-1_temperature,蕉门水道特大桥,JMSD-D-2L-BB-1,temperature,95.863,75.428,89.733,known_system_gap,0.2506,0.0,0.0,0.0
JMSD-C-2D-WSD-1_humidity,蕉门水道特大桥,JMSD-C-2D-WSD-1,humidity,95.863,75.432,89.734,known_system_gap,0.2505,0.0,0.0,0.0
JMSD-1-2D-QJ-1_temperature,蕉门水道特大桥,JMSD-1-2D-QJ-1,temperature,95.98,75.263,89.765,known_system_gap,0.2516,0.0,0.0,0.0
JMSD-1-2D-QJ-1_xAxisAngle,蕉门水道特大桥,JMSD-1-2D-QJ-1,xAxisAngle,95.98,75.263,89.765,known_system_gap,0.2516,0.0,0.0,0.0
JMSD-1-2D-QJ-1_yAxisAngle,蕉门水道特大桥,JMSD-1-2D-QJ-1,yAxisAngle,95.98,75.263,89.765,known_system_gap,0.2516,0.0,0.0,0.0
JMSD-1-4D-QJ-1_temperature,蕉门水道特大桥,JMSD-1-4D-QJ-1,temperature,96.019,75.255,89.79,known_system_gap,0.2515,0.0,0.0,0.0
JMSD-1-4D-QJ-1_yAxisAngle,蕉门水道特大桥,JMSD-1-4D-QJ-1,yAxisAngle,96.019,75.255,89.79,known_system_gap,0.2515,0.0,0.0,0.0
JMSD-1-4D-QJ-1_xAxisAngle,蕉门水道特大桥,JMSD-1-4D-QJ-1,xAxisAngle,96.019,75.255,89.79,known_system_gap,0.2515,0.0,0.0,0.0
JMSD-B-3D-BB-1_pressure,蕉门水道特大桥,JMSD-B-3D-BB-1,pressure,96.058,75.184,89.796,known_system_gap,0.252,0.0,0.0,0.0
JMSD-B-3D-BB-1_temperature,蕉门水道特大桥,JMSD-B-3D-BB-1,temperature,96.058,75.184,89.796,known_system_gap,0.252,0.0,0.0,0.0
JMSD-C-3L-BB-2_temperature,蕉门水道特大桥,JMSD-C-3L-BB-2,temperature,95.941,75.467,89.799,known_system_gap,0.2498,0.0,0.0,0.0
JMSD-C-3L-BB-2_pressure,蕉门水道特大桥,JMSD-C-3L-BB-2,pressure,95.941,75.467,89.799,known_system_gap,0.2498,0.0,0.0,0.0
JMSD-D-3L-BB-2_pressure,蕉门水道特大桥,JMSD-D-3L-BB-2,pressure,96.039,75.372,89.839,known_system_gap,0.2502,0.0,0.0,0.0
JMSD-D-3L-BB-2_temperature,蕉门水道特大桥,JMSD-D-3L-BB-2,temperature,96.039,75.372,89.839,known_system_gap,0.2502,0.0,0.0,0.0
JMSD-B-2D-BB-2_temperature,蕉门水道特大桥,JMSD-B-2D-BB-2,temperature,96.136,75.258,89.873,known_system_gap,0.2509,0.0,0.0,0.0
JMSD-B-2D-BB-2_pressure,蕉门水道特大桥,JMSD-B-2D-BB-2,pressure,96.136,75.258,89.873,known_system_gap,0.2509,0.0,0.0,0.0
JMSD-A-2L-BB-1_temperature,蕉门水道特大桥,JMSD-A-2L-BB-1,temperature,96.156,75.336,89.91,known_system_gap,0.2501,0.0,0.0,0.0
JMSD-A-2L-BB-1_pressure,蕉门水道特大桥,JMSD-A-2L-BB-1,pressure,96.156,75.336,89.91,known_system_gap,0.2501,0.0,0.0,0.0
JMSD-B-3L-BB-2_pressure,蕉门水道特大桥,JMSD-B-3L-BB-2,pressure,96.234,75.299,89.953,known_system_gap,0.2501,0.0,0.0,0.0
JMSD-B-3L-BB-2_temperature,蕉门水道特大桥,JMSD-B-3L-BB-2,temperature,96.234,75.299,89.953,known_system_gap,0.2501,0.0,0.0,0.0
